cnpj;identificador_matriz_filial;razao_social;nome_fantasia;cnae_secundario;nm_cnae
"09581542000170";"1";"PALMA CONSTRUCOES E PARTICIPACOES S/A";"";"4120400";"Construção de edifícios"
"09581542000170";"1";"PALMA CONSTRUCOES E PARTICIPACOES S/A";"";"6630400";"Atividades de administração de fundos por contrato ou comissão"
"09581542000170";"1";"PALMA CONSTRUCOES E PARTICIPACOES S/A";"";"6810202";"Aluguel de imóveis próprios"
"09581542000170";"1";"PALMA CONSTRUCOES E PARTICIPACOES S/A";"";"7020400";"Atividades de consultoria em gestão empresarial exceto consultoria técnica específica"
"09582395000152";"1";"XANADU ADMINISTRACAO DE IMOVEIS S/A";"";"6810201";"Compra e venda de imóveis próprios"
"09607675000178";"1";"ASSOCIACAO O MUNDO E UMA BOLA";"O MUNDO E UMA BOLA";"9319101";"Produção e promoção de eventos esportivos"
"09611347000145";"1";"ASSOCIACAO ATLETICA UNIDOS CORDEIRO";"ATLETICO DOS CORDEIRO";"9311500";"Gestão de instalações de esportes"
"09685845000132";"1";"ALLAN O. DE JESUS";"COLONIA SHOW BAR";"4635403";"Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada"
"09685845000132";"1";"ALLAN O. DE JESUS";"COLONIA SHOW BAR";"4639702";"Comércio atacadista de produtos alimentícios em geral com atividade de fracionamento e acondicionamento associada"
"09685845000132";"1";"ALLAN O. DE JESUS";"COLONIA SHOW BAR";"4691500";"Comércio atacadista de mercadorias em geral com predominância de produtos alimentícios"
"09685845000132";"1";"ALLAN O. DE JESUS";"COLONIA SHOW BAR";"4723700";"Comércio varejista de bebidas"
"09685845000132";"1";"ALLAN O. DE JESUS";"COLONIA SHOW BAR";"4729699";"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente"
"09685845000132";"1";"ALLAN O. DE JESUS";"COLONIA SHOW BAR";"9001902";"Produção musical"
"09685845000132";"1";"ALLAN O. DE JESUS";"COLONIA SHOW BAR";"9329801";"Discotecas danceterias salões de dança e similares"
"10201644000100";"1";"LIGA REGIONAL DE DESPORTOS AMADOR INDEPENDENTE";"LIREDAI";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"10209830000187";"1";"GREMIO BARUERI FUTEBOL LTDA";"GREMIO BARUERI";"7490105";"Agenciamento de profissionais para atividades esportivas culturais e artísticas"
"10220151000109";"1";"ALM SOCCER, CENTRO DE TREINAMENTO ESPORTIVO LTDA.";"ALM SOCCER";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"10231114000104";"1";"ASSOCIACAO CULTURAL DESPORTIVA E SOCIAL ESTRELA NOVA";"ACDEN";"9312300";"Clubes sociais esportivos e similares"
"10231114000104";"1";"ASSOCIACAO CULTURAL DESPORTIVA E SOCIAL ESTRELA NOVA";"ACDEN";"9319101";"Produção e promoção de eventos esportivos"
"10231114000104";"1";"ASSOCIACAO CULTURAL DESPORTIVA E SOCIAL ESTRELA NOVA";"ACDEN";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"10312514000136";"1";"GREMIO RECREATIVO ESPORTIVO CAMPO LARGO - GRECAL";"GRECAL";"9312300";"Clubes sociais esportivos e similares"
"10312514000136";"1";"GREMIO RECREATIVO ESPORTIVO CAMPO LARGO - GRECAL";"GRECAL";"9319101";"Produção e promoção de eventos esportivos"
"10384853000128";"1";"ASSOCIACAO DESPORTIVA RODA BRASIL - ADRB";"RODA BRASIL - ADRB";"9319101";"Produção e promoção de eventos esportivos"
